Date,Time,S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
2017/12/22,15:46:51,26.0,25.81,25.63,26.31,119,33,66,42,0.07,0.17,0.06,0.11,565,-0.434615384615,0,0,1
2017/12/23,15:54:20,26.0,26.81,25.5,26.25,119,24,41,30,0.53,0.18,0.1,0.11,450,1.29615384615,1,0,1
2017/12/23,16:10:10,26.0,26.81,25.5,26.31,119,22,33,23,0.18,0.06,0.06,0.06,485,0.75,0,0,1
2017/12/23,12:45:56,25.69,25.38,25.19,26.0,124,39,74,54,0.65,0.17,0.28,0.14,380,0.219230769231,1,0,1
2017/12/23,15:59:27,26.0,26.81,25.5,26.38,119,24,38,28,0.14,0.06,0.06,0.07,460,1.52692307692,1,0,1
2017/12/23,16:23:27,26.06,26.75,25.5,26.31,117,21,26,19,0.15,0.06,0.07,0.06,525,1.43076923077,0,0,1
2017/12/22,15:49:54,26.06,25.81,25.63,26.31,119,32,62,40,0.22,0.06,0.06,0.06,575,-0.130769230769,0,0,1
2017/12/23,12:44:24,25.63,25.38,25.19,26.0,124,39,73,53,0.62,0.25,0.2,0.18,380,0.276923076923,1,0,1
2017/12/23,15:52:49,25.94,26.81,25.5,26.31,120,24,42,31,0.68,0.16,0.12,0.14,450,1.12307692308,1,0,1
2017/12/23,16:35:42,26.06,26.81,25.5,26.38,115,20,22,14,0.08,0.09,0.07,0.07,540,0.6,0,0,1
2017/12/22,11:19:49,25.25,25.0,24.81,25.63,123,35,59,45,0.29,0.08,0.1,0.07,440,0.934615384615,0,0,1
2017/12/23,12:40:19,25.69,25.38,25.19,26.0,123,38,70,51,0.37,0.11,0.07,0.07,380,0.276923076923,0,0,1
2017/12/23,12:10:12,25.5,25.31,25.06,25.88,124,38,70,50,0.49,0.23,0.17,0.13,365,0.3,1,0,1
2017/12/22,16:06:45,26.06,25.75,25.56,26.38,119,29,50,29,0.43,0.12,0.14,0.33,600,0.334615384615,0,0,1
2017/12/23,15:32:23,25.81,26.81,25.5,26.25,120,26,49,35,0.26,0.08,0.08,0.06,420,-1.82307692308,0,0,1
2017/12/23,12:20:55,25.56,25.31,25.13,25.88,124,38,72,52,0.77,0.31,0.22,0.14,370,0.269230769231,1,0,1
2017/12/23,16:03:01,26.0,26.75,25.5,26.31,119,23,35,26,0.07,0.06,0.18,0.07,470,1.51923076923,1,0,1
2017/12/23,12:18:52,25.5,25.31,25.13,25.94,123,37,68,49,0.55,0.2,0.17,0.12,370,0.292307692308,0,0,1
2017/12/22,15:55:01,26.06,25.75,25.56,26.31,119,30,56,35,0.08,0.06,0.08,0.06,595,1.31538461538,0,0,1
2017/12/22,15:53:29,26.0,25.81,25.63,26.25,119,31,58,36,0.07,0.05,0.06,0.07,590,1.01923076923,0,0,1
2017/12/22,15:38:40,25.94,25.81,25.63,26.31,120,33,65,41,0.07,0.05,0.08,0.09,575,-1.07307692308,0,0,1
2017/12/22,11:24:55,25.31,25.0,24.81,25.75,124,36,63,48,0.17,0.1,0.14,0.06,440,0.846153846154,0,0,1
2017/12/23,16:24:59,26.06,26.81,25.56,26.38,117,21,25,19,0.17,0.06,0.06,0.06,520,1.37692307692,0,0,1
2017/12/22,16:04:43,26.06,25.75,25.56,26.25,118,29,52,31,0.13,0.07,0.05,0.06,595,0.157692307692,1,0,1
2017/12/22,11:12:40,25.19,24.94,24.75,25.63,124,35,60,46,0.17,0.05,0.06,0.06,425,1.17307692308,0,0,1
2017/12/23,11:56:55,25.38,25.25,25.06,25.88,123,36,68,49,0.24,0.07,0.19,0.15,360,0.0653846153846,0,1,1
2017/12/23,12:02:01,25.44,25.25,25.06,25.88,122,35,64,46,0.9,0.25,0.05,0.06,360,0.0,0,0,1
2017/12/22,15:28:58,25.88,25.88,25.69,26.31,119,35,73,46,0.08,0.05,0.05,0.08,590,-2.54230769231,1,0,1
2017/12/23,16:05:04,26.0,26.81,25.56,26.38,119,23,35,25,0.18,0.07,0.08,0.07,475,1.32307692308,1,0,1
2017/12/22,15:48:53,26.0,25.81,25.63,26.31,119,32,64,40,0.08,0.05,0.06,0.07,575,-0.334615384615,0,0,1
2017/12/23,15:28:49,25.81,26.81,25.5,26.25,117,25,49,35,0.8,0.17,0.08,0.1,415,-1.69615384615,0,0,1
2017/12/23,12:31:08,25.63,25.38,25.13,25.94,123,37,67,49,0.62,0.22,0.2,0.13,375,0.288461538462,0,0,1
2017/12/23,12:14:17,25.5,25.31,25.06,25.94,123,37,68,49,0.24,0.06,0.07,0.06,370,0.280769230769,1,0,1
2017/12/22,11:01:26,25.13,24.88,24.63,25.56,123,35,58,45,1.31,0.12,0.08,0.07,400,0.319230769231,0,0,1
2017/12/23,15:34:26,25.88,26.81,25.5,26.25,121,25,48,35,0.19,0.11,0.08,0.08,420,-1.35769230769,1,0,1
2017/12/22,16:00:07,26.0,25.75,25.56,26.31,119,29,54,34,0.31,0.12,0.09,0.1,595,1.05769230769,0,0,1
2017/12/23,16:22:25,26.06,26.81,25.5,26.31,117,21,26,20,0.14,0.06,0.08,0.07,510,1.42692307692,0,0,1
2017/12/23,12:22:58,25.56,25.31,25.13,25.94,124,38,72,51,0.58,0.3,0.15,0.11,370,0.184615384615,0,0,1
2017/12/23,15:53:50,25.94,26.75,25.5,26.31,119,24,42,31,0.49,0.13,0.08,0.09,450,1.26538461538,1,0,1
2017/12/22,15:59:06,26.0,25.81,25.56,26.31,119,29,54,34,0.23,0.09,0.11,0.06,595,1.27692307692,1,0,1
2017/12/23,15:51:17,26.0,26.81,25.5,26.31,120,24,43,31,0.82,0.12,0.23,0.12,430,0.773076923077,1,0,1
2017/12/23,12:07:38,25.44,25.31,25.06,25.88,124,37,70,50,1.63,0.53,0.59,0.21,365,0.261538461538,0,0,1
2017/12/23,15:56:23,26.0,26.81,25.5,26.31,119,24,40,29,0.21,0.06,0.08,0.06,455,1.41923076923,0,0,1
2017/12/23,16:19:22,26.06,26.81,25.5,26.38,117,21,27,20,0.13,0.06,0.06,0.06,510,1.62307692308,1,0,1
2017/12/22,15:42:45,26.0,25.81,25.63,26.31,119,33,67,41,0.47,0.1,0.2,0.08,570,-0.546153846154,0,0,1
2017/12/22,10:56:50,25.06,24.88,24.63,25.56,123,35,58,44,0.57,0.17,0.21,0.13,390,-0.630769230769,1,0,1
2017/12/22,16:23:36,26.13,25.75,25.56,26.25,116,25,40,23,0.07,0.05,0.07,0.06,620,0.519230769231,0,0,1
2017/12/23,16:03:32,26.0,26.81,25.5,26.25,119,23,35,26,0.31,0.22,0.06,0.1,475,1.49230769231,0,0,1
2017/12/23,12:22:27,25.56,25.31,25.13,25.94,123,38,72,52,0.45,0.26,0.2,0.14,370,0.211538461538,0,0,1
2017/12/22,16:01:39,26.06,25.75,25.63,26.25,119,29,53,33,0.07,0.06,0.08,0.06,590,0.557692307692,0,0,1
2017/12/23,12:04:35,25.44,25.25,25.0,25.88,124,38,70,49,0.1,0.28,0.28,0.15,365,0.0884615384615,0,0,1
2017/12/22,16:30:14,26.06,25.75,25.56,26.31,114,24,40,21,0.43,0.11,0.17,0.09,625,0.296153846154,1,0,1
2017/12/23,16:24:28,26.06,26.81,25.56,26.31,117,21,25,19,0.12,0.07,0.05,0.06,520,1.41538461538,0,0,1
2017/12/22,11:21:20,25.25,25.0,24.81,25.63,124,36,61,46,0.83,0.1,0.11,0.1,435,0.688461538462,0,0,1
2017/12/22,16:20:32,26.06,25.75,25.56,26.31,116,26,43,24,0.43,0.21,0.17,0.15,625,0.888461538462,1,0,1
2017/12/22,11:12:09,25.19,24.88,24.69,25.63,123,35,59,45,0.42,0.19,0.16,0.09,420,1.21538461538,0,0,1
2017/12/23,16:00:59,26.0,26.75,25.5,26.31,119,24,36,27,0.08,0.06,0.06,0.06,470,1.61538461538,0,1,1
2017/12/23,16:31:06,26.06,26.81,25.56,26.38,117,20,24,16,0.5,0.11,0.1,0.08,535,1.00769230769,1,0,1
2017/12/22,15:53:59,26.0,25.75,25.63,26.31,119,30,57,36,0.07,0.06,0.06,0.06,590,1.13076923077,0,0,1
2017/12/22,11:00:24,25.06,24.88,24.63,25.56,123,35,57,44,0.15,0.05,0.06,0.06,395,-0.0923076923077,0,0,1
2017/12/22,16:09:49,26.06,25.75,25.56,26.31,118,28,50,28,0.08,0.05,0.08,0.06,605,0.311538461538,0,0,1
2017/12/23,16:02:31,26.0,26.75,25.5,26.31,119,23,36,26,0.29,0.15,0.09,0.07,470,1.56538461538,1,0,1
2017/12/23,11:54:22,25.38,25.25,25.0,25.81,121,35,65,46,1.17,0.46,0.1,0.07,360,0.1,0,0,1
2017/12/23,11:51:18,25.31,25.31,25.0,25.88,120,36,65,46,1.67,0.66,0.68,0.21,360,0.0346153846154,0,0,1
2017/12/23,13:57:25,26.06,27.06,25.5,26.31,160,249,79,59,0.75,1.46,0.38,0.36,595,1.57692307692,0,0,2
2017/12/22,17:23:20,26.19,25.81,25.81,26.31,114,24,176,10,0.23,0.08,0.12,0.08,775,1.41538461538,0,1,2
2017/12/23,17:23:42,26.19,25.88,25.69,26.38,116,22,186,10,0.43,0.15,0.17,0.2,735,2.31923076923,1,0,2
2017/12/23,16:58:40,26.13,25.81,25.63,26.31,119,24,192,14,0.37,0.13,0.07,0.13,620,2.0,1,0,2
2017/12/22,11:30:32,25.38,25.38,24.81,25.81,157,241,67,53,0.73,0.24,0.1,0.1,445,0.623076923077,0,1,2
2017/12/23,19:11:56,26.19,26.25,26.0,26.31,114,19,179,7,0.5,0.54,0.1,0.35,1040,-0.315384615385,0,0,2
2017/12/23,19:19:05,26.19,26.19,26.0,26.31,114,19,179,7,0.08,0.05,0.26,0.06,1020,-1.07307692308,0,0,2
2017/12/22,17:02:24,26.19,25.75,25.75,26.25,116,24,183,14,0.07,0.05,0.07,0.07,720,1.87307692308,1,0,2
2018/01/10,17:38:33,25.94,26.19,25.88,25.94,142,228,8,8,0.56,0.49,0.2,0.16,835,0.0230769230769,1,1,2
2017/12/23,16:41:50,26.13,26.13,25.56,26.25,119,24,201,19,1.59,0.17,0.26,0.12,565,1.09230769231,0,0,2
2017/12/22,12:16:29,25.69,27.88,25.13,26.0,156,240,79,60,0.88,0.66,0.29,0.21,625,2.01923076923,1,1,2
2017/12/23,13:05:51,25.81,25.69,25.25,26.06,160,249,76,56,0.34,0.96,0.14,0.2,405,0.892307692308,0,0,2
2017/12/23,13:54:21,26.06,27.06,25.44,26.38,160,247,79,59,1.01,0.73,0.34,0.32,595,1.72692307692,1,0,2
2017/12/23,19:28:17,26.25,26.13,25.94,26.31,114,19,180,7,0.1,0.09,0.26,0.14,1010,-0.626923076923,0,1,2
2017/12/23,13:24:44,25.94,25.88,25.38,26.31,160,249,77,58,0.67,1.04,0.43,0.3,500,2.63461538462,0,0,2
2017/12/23,12:51:02,25.69,25.5,25.19,26.06,154,243,72,54,0.78,1.01,0.31,0.31,385,0.126923076923,1,1,2
2017/12/23,19:51:46,26.19,26.19,26.0,26.31,114,21,181,7,3.8,0.24,3.04,0.21,1020,-0.769230769231,1,1,2
2017/12/22,11:31:33,25.38,25.44,24.81,25.81,157,242,69,54,0.58,0.56,0.25,0.16,450,0.538461538462,0,1,2
2017/12/23,14:05:05,26.06,27.13,25.44,26.38,161,247,79,58,1.41,1.74,0.37,0.47,610,0.896153846154,1,0,2
2017/12/22,12:34:52,25.75,28.69,25.31,26.06,159,245,216,65,0.62,0.74,0.19,0.13,665,0.707692307692,1,0,2
2017/12/23,17:07:52,26.19,25.81,25.69,26.38,118,23,190,12,0.58,0.41,0.42,0.35,670,3.25,0,0,2
2017/12/22,12:02:42,25.56,27.56,25.06,26.0,157,244,75,58,0.09,0.07,0.08,0.07,595,2.22692307692,0,0,2
2018/01/10,17:56:25,25.94,26.31,25.75,25.94,141,226,5,6,0.77,1.58,0.2,0.17,850,0.373076923077,1,1,2
2017/12/22,17:25:23,26.19,25.81,25.75,26.31,114,24,176,10,2.59,1.8,3.65,1.54,795,1.85384615385,0,1,2
2018/01/10,17:17:07,25.94,26.13,25.81,25.94,146,230,174,21,0.12,0.82,0.11,0.09,800,1.69230769231,0,0,2
2017/12/22,11:36:39,25.44,25.44,24.88,25.81,157,239,70,54,0.63,0.42,0.21,0.15,460,0.453846153846,0,0,2
2017/12/23,13:40:34,25.94,26.0,25.44,26.25,160,251,80,60,0.55,0.73,0.23,0.26,525,4.13846153846,0,0,2
2017/12/22,16:46:35,26.13,25.75,25.75,26.25,117,26,188,20,0.09,0.06,0.49,0.06,655,1.14230769231,1,0,2
2017/12/23,19:31:20,26.25,26.13,26.0,26.25,114,19,180,7,0.08,0.16,0.16,0.11,1015,-0.553846153846,0,0,2
2017/12/23,18:44:53,26.25,26.38,25.94,26.31,117,19,183,7,0.32,0.07,0.27,0.08,1065,2.06538461538,0,1,2
2017/12/23,13:23:12,25.94,25.88,25.38,26.19,160,249,80,59,0.74,1.41,0.44,0.36,495,2.9,0,1,2
2017/12/22,17:13:38,26.19,25.75,25.81,26.31,115,24,180,11,0.43,0.5,1.54,0.4,750,1.35,1,1,2
2017/12/23,16:45:24,26.13,25.88,25.5,26.31,119,24,197,18,0.8,0.23,0.13,0.21,570,1.91923076923,0,1,2
2017/12/23,13:19:38,25.88,25.88,25.31,26.25,160,246,75,58,0.57,0.32,0.12,0.15,480,2.90769230769,0,0,2
2017/12/22,16:57:49,26.19,25.75,25.75,26.25,115,25,184,15,0.76,0.17,0.26,0.23,710,2.26923076923,0,0,2
2017/12/23,17:16:02,26.19,25.88,25.69,26.31,118,23,188,11,0.6,0.13,1.93,0.69,710,2.39230769231,1,1,2
2017/12/23,19:02:45,26.25,26.25,25.94,26.31,114,19,179,7,0.09,0.24,0.31,0.13,1035,0.473076923077,1,0,2
2017/12/22,11:57:36,25.56,25.94,25.0,25.94,155,239,75,58,0.44,3.44,0.67,0.36,570,2.14230769231,1,1,2
2017/12/22,17:28:57,26.19,25.75,25.81,26.31,114,24,176,10,0.75,0.56,3.65,0.75,790,2.18461538462,1,1,2
2017/12/23,13:47:12,26.0,26.81,25.44,26.31,163,251,87,65,1.1,3.2,0.17,0.21,570,3.55,0,0,2
2017/12/22,16:44:02,26.13,25.75,25.75,26.31,117,26,190,20,0.11,0.13,0.06,0.33,645,0.784615384615,0,0,2
2017/12/23,18:45:23,26.25,26.38,25.94,26.31,117,19,183,7,0.2,0.08,0.25,0.07,1060,1.92307692308,0,0,2
2017/12/23,13:52:49,26.0,27.0,25.44,26.31,160,249,83,62,0.94,0.72,0.27,0.42,595,2.0,0,0,2
2017/12/23,19:40:01,26.19,26.13,25.94,26.31,114,19,180,7,0.09,0.96,0.09,0.47,1025,0.480769230769,1,0,2
2017/12/23,19:25:43,26.19,26.13,26.0,26.31,114,19,180,7,1.09,0.75,0.51,0.28,1010,-0.426923076923,0,1,2
2017/12/23,13:22:42,25.88,25.88,25.38,26.25,160,247,80,60,0.63,0.66,0.31,0.19,495,3.00384615385,1,1,2
2017/12/22,13:32:03,26.06,27.56,25.88,26.19,165,254,274,73,0.51,0.5,1.32,0.42,875,1.46923076923,1,1,2
2017/12/23,19:33:54,26.25,26.13,25.94,26.31,114,19,180,7,0.09,0.07,0.49,0.07,1015,-0.219230769231,0,0,2
2017/12/23,13:50:47,26.0,27.0,25.44,26.31,161,249,84,62,1.05,1.49,0.48,0.55,575,2.30384615385,0,1,2
2017/12/22,13:29:30,26.0,27.63,25.88,26.25,163,253,268,70,0.96,0.75,2.69,0.43,885,1.42692307692,1,1,2
2018/01/10,17:46:43,25.94,26.19,25.81,25.94,142,227,6,7,0.26,0.52,0.17,0.1,835,0.380769230769,0,0,2
2017/12/23,13:13:00,25.88,25.81,25.38,26.19,160,249,79,58,0.39,0.59,0.13,0.33,440,2.15384615385,1,1,2
2017/12/23,19:15:31,26.19,26.19,26.0,26.31,114,19,180,7,0.37,0.14,0.35,0.08,1025,-0.207692307692,1,0,2
2017/12/22,17:04:27,26.13,25.75,25.75,26.31,116,24,181,14,0.12,0.1,0.18,0.06,725,1.76538461538,0,1,2
2018/01/10,17:47:14,25.94,26.25,25.81,25.94,142,227,6,7,0.4,0.59,0.18,0.15,830,0.215384615385,1,0,2
2018/01/10,17:54:23,26.0,26.25,25.75,26.0,142,227,5,6,0.56,0.16,0.2,0.09,840,-0.526923076923,1,0,2
2017/12/22,16:56:17,26.13,25.75,25.75,26.25,116,25,188,16,0.32,0.08,0.14,0.1,700,2.40769230769,0,0,2
2017/12/23,17:29:19,26.19,25.81,25.75,26.31,116,22,185,10,0.89,0.59,2.05,0.51,705,-0.526923076923,0,0,2
2018/01/10,17:43:40,25.94,26.31,25.81,25.94,142,228,6,7,0.33,0.44,0.16,0.09,845,0.703846153846,0,1,2
2017/12/23,17:19:06,26.19,25.81,25.69,26.31,118,22,187,10,0.09,0.26,1.02,0.21,725,2.58076923077,0,1,2
2018/01/10,17:45:11,25.94,26.25,25.81,26.0,142,227,6,7,0.08,0.21,0.08,0.09,835,0.669230769231,0,0,2
2017/12/23,16:40:48,26.13,26.25,25.5,26.31,119,25,203,19,0.64,0.28,3.65,0.52,555,0.669230769231,0,1,2
2017/12/22,12:03:12,25.56,27.75,25.06,26.0,156,244,75,58,0.7,0.1,0.08,0.09,605,2.32692307692,1,0,2
2017/12/22,17:07:31,26.19,25.75,25.75,26.31,116,24,180,13,0.22,0.16,0.99,0.22,730,1.55384615385,0,1,2
2017/12/23,13:32:24,25.94,25.94,25.38,26.19,162,253,82,61,1.0,0.69,0.21,0.24,460,-2.76153846154,0,0,2
2017/12/22,11:43:48,25.44,25.56,24.94,25.81,155,235,71,54,2.95,1.27,0.25,0.17,510,2.72307692308,1,1,2
2017/12/22,11:41:46,25.44,25.56,24.94,25.75,155,237,71,55,0.43,0.36,0.21,0.11,500,1.70769230769,1,1,2
2017/12/22,17:08:01,26.19,25.69,25.75,26.31,115,24,181,13,0.63,0.64,3.14,0.57,730,1.46153846154,0,1,2
2017/12/23,17:01:14,26.13,25.81,25.63,26.31,118,24,191,14,0.53,0.55,1.61,0.49,635,2.25384615385,1,1,2
2017/12/23,17:13:29,26.19,25.88,25.69,26.31,118,23,188,11,0.89,0.7,1.97,0.55,700,2.50769230769,0,0,2
2018/01/10,17:47:45,25.94,26.31,25.81,25.94,142,226,6,7,0.42,0.55,0.23,0.16,830,0.1,1,0,2
2017/12/23,13:16:04,25.88,25.81,25.38,26.19,160,249,80,60,0.33,1.08,0.31,0.16,460,2.64230769231,1,0,2
2017/12/23,13:18:06,25.88,25.88,25.38,26.19,160,249,77,58,0.65,0.19,0.06,0.21,475,2.94230769231,0,0,2
2017/12/23,17:17:03,26.13,25.81,25.69,26.38,117,23,188,11,0.8,0.39,0.13,0.37,720,2.41538461538,0,0,2
2017/12/22,12:20:34,25.69,28.19,25.13,26.06,155,243,80,59,0.83,0.17,0.06,0.12,635,1.22692307692,1,0,2
2017/12/22,11:58:37,25.56,26.81,25.0,25.94,155,242,75,57,0.37,1.96,0.98,0.11,580,2.01538461538,1,1,2
2017/12/23,19:43:36,26.19,26.13,25.94,26.25,115,19,181,7,0.08,0.05,0.37,0.07,1025,0.35,0,0,2
2017/12/22,17:03:26,26.19,25.75,25.75,26.31,117,25,184,14,0.09,0.05,0.1,0.07,720,1.76923076923,0,1,2
2018/01/10,17:08:56,25.94,26.13,25.81,25.94,148,234,179,24,0.19,0.2,0.46,0.11,785,1.67307692308,1,1,2
2017/12/22,12:11:23,25.69,27.56,25.06,25.88,157,244,79,60,0.79,0.56,0.2,0.16,620,1.01153846154,0,0,2
2017/12/22,12:10:21,25.63,27.56,25.06,25.94,156,244,79,60,0.63,0.28,0.2,0.14,615,0.923076923077,1,0,2
2017/12/23,13:07:23,25.81,25.75,25.31,26.13,159,248,73,54,0.25,0.11,0.07,0.06,415,1.03846153846,1,0,2
2017/12/22,16:42:30,26.13,25.75,25.75,26.19,117,27,191,21,0.24,0.07,0.07,0.06,635,0.453846153846,1,0,2
2017/12/22,16:34:50,26.13,25.75,25.63,26.31,118,28,203,24,0.66,0.49,2.13,0.39,625,0.107692307692,1,1,2
2017/12/22,12:21:35,25.69,28.13,25.13,26.06,155,242,77,60,0.18,0.06,0.07,0.07,645,1.11153846154,0,0,2
2017/12/22,11:56:04,25.56,25.75,25.0,25.94,155,232,75,58,0.54,0.78,0.29,0.21,565,2.36923076923,1,1,2
2017/12/23,19:27:46,26.25,26.13,26.0,26.31,114,19,180,7,0.07,0.05,0.12,0.07,1005,-0.6,0,0,2
2017/12/23,17:21:08,26.19,25.81,25.69,26.31,117,22,186,10,1.33,0.31,0.46,0.3,730,2.75,1,0,2
2017/12/23,12:50:01,25.69,25.5,25.19,25.94,150,220,73,54,0.74,3.44,0.5,0.35,385,0.0461538461538,1,1,2
2017/12/22,11:55:02,25.56,25.75,25.0,25.88,155,233,74,56,0.5,0.1,0.11,0.08,560,2.65384615385,1,0,2
2018/01/10,17:35:29,25.94,26.19,25.88,25.94,146,230,170,19,0.1,0.31,0.08,0.08,835,1.27692307692,1,0,2
2017/12/23,16:56:38,26.13,25.81,25.63,26.38,118,24,193,14,0.68,0.57,0.22,0.42,605,1.56538461538,0,0,2
2017/12/22,16:45:33,26.13,25.75,25.75,26.25,117,26,190,20,0.15,0.05,0.06,0.06,655,1.01538461538,0,0,2
2017/12/22,12:07:18,25.63,27.31,25.06,25.94,157,244,76,59,0.88,0.12,0.08,0.11,595,1.41153846154,1,0,2
2017/12/23,19:49:13,26.19,26.13,25.94,26.25,115,19,181,7,0.68,0.29,3.65,0.35,995,-1.3,1,1,2
2017/12/22,16:47:05,26.13,25.75,25.75,26.25,117,26,189,20,0.2,0.17,0.45,0.15,650,1.14230769231,0,0,2
2018/01/10,17:30:23,25.94,26.19,25.88,25.94,145,230,170,20,0.31,0.31,1.12,0.23,845,1.88461538462,1,1,2
2017/12/23,18:49:59,26.25,26.38,25.94,26.38,117,19,184,7,0.1,0.8,3.0,1.1,1045,0.169230769231,0,0,2
2017/12/23,13:36:29,25.94,26.0,25.38,26.25,161,251,83,62,0.08,0.06,0.15,0.06,510,-0.538461538462,0,0,2
2017/12/23,18:50:30,26.25,26.31,25.94,26.31,117,19,183,7,1.25,1.41,3.65,1.25,1040,-0.0961538461538,0,1,2
2018/01/10,17:49:17,25.94,26.25,25.81,26.0,142,228,5,7,0.4,0.66,0.19,0.13,830,-0.161538461538,0,0,2
2018/01/10,17:26:18,25.94,26.19,25.88,25.94,146,231,173,20,0.32,0.49,0.99,0.18,820,-0.0807692307692,1,1,2
2017/12/23,14:08:08,26.13,27.13,25.5,26.38,160,247,75,56,0.56,0.9,0.3,0.24,640,1.41538461538,0,0,2
2017/12/23,18:54:35,26.25,26.31,25.94,26.31,113,19,177,7,0.2,0.05,0.42,0.07,1030,-1.4,0,0,2
2017/12/22,11:56:34,25.56,25.75,25.0,25.88,155,232,75,58,0.41,1.05,0.29,0.17,570,2.32307692308,1,1,2
2017/12/23,13:07:53,25.81,25.75,25.31,26.19,159,249,74,54,1.14,0.32,0.21,0.08,415,1.12692307692,1,0,2
2017/12/23,13:15:02,25.88,25.81,25.38,26.19,160,249,79,59,1.27,3.09,0.47,0.21,455,2.37692307692,0,1,2
2018/01/10,17:50:18,25.94,26.19,25.75,26.0,142,227,5,7,0.26,0.31,0.15,0.17,845,-0.3,1,1,2
2017/12/22,17:25:54,26.19,25.75,25.81,26.31,114,24,176,10,0.23,0.05,0.07,0.06,800,2.07692307692,0,1,2
2017/12/22,11:44:19,25.5,25.56,24.94,25.81,155,235,70,54,1.78,0.63,0.18,0.08,510,2.94230769231,1,0,2
2017/12/22,17:23:51,26.19,25.75,25.81,26.31,114,24,175,10,0.09,0.06,0.08,0.06,775,1.44230769231,0,0,2
